Graphite 3.0.11

Simulation (Host) Timers: 
Start Time (in microseconds)       193708119
Stop Time (in microseconds)        20073582899
Shutdown Time (in microseconds)    20075817552
                                                               | Tile 0          | Tile 1          | Tile 2          | Tile 3          | Tile 4          | Tile 5          | Tile 6          | Tile 7          | Tile 8          | Tile 9          | Tile 10         | Tile 11         | Tile 12         | Tile 13         | Tile 14         | Tile 15         | Tile 16         | Tile 17         | Tile 18         | Tile 19         | Tile 20         | Tile 21         | Tile 22         | Tile 23         | Tile 24         | Tile 25         | Tile 26         | Tile 27         | Tile 28         | Tile 29         | Tile 30         | Tile 31         | Tile 32         | Tile 33         | Tile 34         | Tile 35         | Tile 36         | Tile 37         | Tile 38         | Tile 39         | Tile 40         | Tile 41         | Tile 42         | Tile 43         | Tile 44         | Tile 45         | Tile 46         | Tile 47         | Tile 48         | Tile 49         | Tile 50         | Tile 51         | Tile 52         | Tile 53         | Tile 54         | Tile 55         | Tile 56         | Tile 57         | Tile 58         | Tile 59         | Tile 60         | Tile 61         | Tile 62         | Tile 63         | 
      Network Recv                                             |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Branch Predictor Statistics                                |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
      Num Correct                                              |  526921275      |  514521818      |  518071404      |  520109039      |  520097435      |  518077864      |  514540043      |  508959015      |  514529644      |  520107419      |  523646241      |  525152914      |  525146650      |  523116479      |  520108524      |  514001987      |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Num Incorrect                                            |  69015055       |  69480534       |  69946575       |  70204505       |  70216117       |  69941039       |  69462300       |  68733065       |  69472725       |  70206147       |  70682022       |  70897274       |  70903522       |  70639038       |  70205026       |  69426724       |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Type                                                     |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) |  one-bit (1024) | 
    Micro-Op Statistics                                        |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
      Total                                                    |  4605849020     |  4473234620     |  4503975732     |  4521536066     |  4521552993     |  4503973979     |  4473208285     |  4424904678     |  4473223684     |  4521538780     |  4552288453     |  4565491289     |  4565500515     |  4547935995     |  4521537385     |  4468861227     |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Generic                                                  |  1309479495     |  1244106288     |  1252652212     |  1257532692     |  1257541140     |  1252651447     |  1244093137     |  1230665776     |  1244100797     |  1257534023     |  1266084110     |  1269760753     |  1269765395     |  1264882947     |  1257533348     |  1242894529     |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Integer                                                  |  1176310613     |  1151232140     |  1159148028     |  1163672258     |  1163672321     |  1159148870     |  1151232080     |  1138792741     |  1151232219     |  1163672381     |  1171587469     |  1174980986     |  1174980887     |  1170457415     |  1163672313     |  1150101362     |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Floating Point                                           |  507890         |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
