Graphite 3.0.11

Simulation (Host) Timers: 
Start Time (in microseconds)       193708119
Stop Time (in microseconds)        20073582899
Shutdown Time (in microseconds)    20075817552
                                                               | Tile 0          | Tile 1          | Tile 2          | Tile 3          | Tile 4          | Tile 5          | Tile 6          | Tile 7          | Tile 8          | Tile 9          | Tile 10         | Tile 11         | Tile 12         | Tile 13         | Tile 14         | Tile 15         | Tile 16         | Tile 17         | Tile 18         | Tile 19         | Tile 20         | Tile 21         | Tile 22         | Tile 23         | Tile 24         | Tile 25         | Tile 26         | Tile 27         | Tile 28         | Tile 29         | Tile 30         | Tile 31         | Tile 32         | Tile 33         | Tile 34         | Tile 35         | Tile 36         | Tile 37         | Tile 38         | Tile 39         | Tile 40         | Tile 41         | Tile 42         | Tile 43         | Tile 44         | Tile 45         | Tile 46         | Tile 47         | Tile 48         | Tile 49         | Tile 50         | Tile 51         | Tile 52         | Tile 53         | Tile 54         | Tile 55         | Tile 56         | Tile 57         | Tile 58         | Tile 59         | Tile 60         | Tile 61         | Tile 62         | Tile 63         | 
      Store Queue                                              |  434039227      |  224093974      |  223025634      |  221124690      |  220453471      |  223696334      |  225999903      |  228725008      |  225335334      |  221585852      |  219719682      |  218564614      |  217912061      |  220882769      |  221743376      |  226620334      |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      L1-I Cache                                               |  23177461       |  14249427       |  14194993       |  14207275       |  14262681       |  14341221       |  14477880       |  14615109       |  14234579       |  14114637       |  14049131       |  14051774       |  14099999       |  14188144       |  14365177       |  14480621       |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      L1-D Cache (Intra-Instruction)                           |  1257931977     |  1247969582     |  1256818128     |  1260656856     |  1259632499     |  1257105788     |  1249691567     |  1237819723     |  1248639243     |  1259819437     |  1267778102     |  1271337134     |  1270418300     |  1267718279     |  1259874899     |  1248815292     |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      L1-D Cache (Inter-Instruction)                           |  7685133649     |  7637522447     |  7618774001     |  7612582280     |  7613442521     |  7618523758     |  7637608460     |  7660612912     |  7637911848     |  7613488181     |  7594604360     |  7581488087     |  7581488242     |  7587401844     |  7614300033     |  7631591829     |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Execution Unit (Intra-Instruction)                       |  348031104      |  326075696      |  328309409      |  329580042      |  329588396      |  328305803      |  326062629      |  322554594      |  326070089      |  329581173      |  331821807      |  332790169      |  332794947      |  331519651      |  329580594      |  325765563      |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Execution Unit (Inter-Instruction)                       |  1526403237     |  1498567184     |  1508739246     |  1514454061     |  1514588954     |  1508675054     |  1498360325     |  1482412475     |  1498479675     |  1514473149     |  1524756334     |  1529291391     |  1529365190     |  1523572882     |  1514463455     |  1497260177     |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
Shared Memory Model Summary                                    |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
    Total Memory Accesses                                      |  4605849078     |  4473234624     |  4503975736     |  4521536116     |  4521553043     |  4503974029     |  4473208289     |  4424904682     |  4473223688     |  4521538830     |  4552288457     |  4565491339     |  4565500565     |  4547936045     |  4521537435     |  4468861231     |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Average Memory Access Latency (in nanoseconds)             |  2.59508        |  2.57179        |  2.55397        |  2.5445         |  2.54426        |  2.5541         |  2.57266        |  2.6004         |  2.57215        |  2.54432        |  2.52646        |  2.51769        |  2.51731        |  2.52707        |  2.54462        |  2.57317        |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           | 
    Total Instruction Memory Accesses                          |  3082234328     |  2979340780     |  2999818219     |  3011518494     |  3011527013     |  2999819220     |  2979327560     |  2947150597     |  2979335385     |  3011519970     |  3031999842     |  3040791927     |  3040796454     |  3029095879     |  3011519211     |  2976424602     |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Instruction Buffer Hits                                    |  3024566684     |  2929128718     |  2949260988     |  2960763824     |  2960772294     |  2949261797     |  2929115542     |  2897481033     |  2929123265     |  2960765207     |  2980900079     |  2989543940     |  2989548539     |  2978045276     |  2960764495     |  2926261801     |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Average Instruction Memory Access Latency (in nanoseconds) |  1.00752        |  1.00478        |  1.00473        |  1.00472        |  1.00474        |  1.00478        |  1.00486        |  1.00496        |  1.00478        |  1.00469        |  1.00463        |  1.00462        |  1.00464        |  1.00468        |  1.00477        |  1.00487        |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           | 
    Total Data Memory Accesses                                 |  1523614750     |  1493893844     |  1504157517     |  1510017622     |  1510026030     |  1504154809     |  1493880729     |  1477754085     |  1493888303     |  1510018860     |  1520288615     |  1524699412     |  1524704111     |  1518840166     |  1510018224     |  1492436629     |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Average Data Memory Access Latency (in nanoseconds)        |  5.80667        |  5.69695        |  5.64369        |  5.61538        |  5.61462        |  5.64399        |  5.6994         |  5.78225        |  5.69805        |  5.6149         |  5.56153        |  5.53528        |  5.53411        |  5.56322        |  5.61564        |  5.70089        |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           |  -nan           | 
Cache Summary                                                  |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
  Cache L1-I                                                   |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
    Cache Accesses                                             |  66023336       |  50267184       |  50612712       |  50810445       |  50810510       |  50612987       |  50267124       |  49724087       |  50267265       |  50810570       |  51155853       |  51304355       |  51304256       |  51106712       |  50810504       |  50217890       |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Cache Misses                                               |  87877          |  86135          |  86712          |  87094          |  87135          |  86765          |  86097          |  85175          |  86185          |  87173          |  87699          |  88085          |  88022          |  87638          |  87131          |  86099          |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Miss Rate (%)                                              |  0.1331         |  0.171354       |  0.171325       |  0.17141        |  0.17149        |  0.171428       |  0.171279       |  0.171295       |  0.171454       |  0.171565       |  0.171435       |  0.171691       |  0.171569       |  0.17148        |  0.171482       |  0.171451       |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
    Evictions                                                  |  6              |  1018           |  1025           |  1039           |  1039           |  1035           |  1018           |  1007           |  1018           |  1039           |  1036           |  1049           |  1049           |  1045           |  1039           |  1017           |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Event Counters                                             |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
      Tag Array Reads                                          |  66374767       |  50610686       |  50958515       |  51157762       |  51157989       |  50958990       |  50610474       |  50063760       |  50610968       |  51158201       |  51505593       |  51655624       |  51655273       |  51456197       |  51157966       |  50561249       |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Tag Array Writes                                         |  175677         |  171232         |  172379         |  173131         |  173211         |  172475         |  171156         |  169323         |  171333         |  173287         |  174342         |  175101         |  174975         |  174211         |  173202         |  171161         |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Data Array Reads                                         |  66023342       |  50268202       |  50613737       |  50811484       |  50811549       |  50614022       |  50268142       |  49725094       |  50268283       |  50811609       |  51156889       |  51305404       |  51305305       |  51107757       |  50811543       |  50218907       |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Data Array Writes                                        |  87877          |  86135          |  86712          |  87094          |  87135          |  86765          |  86097          |  85175          |  86185          |  87173          |  87699          |  88085          |  88022          |  87638          |  87131          |  86099          |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
  Cache L1-D                                                   |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
    Cache Accesses                                             |  1523614753     |  1493893845     |  1504157518     |  1510017711     |  1510026119     |  1504154898     |  1493880730     |  1477754086     |  1493888304     |  1510018949     |  1520288616     |  1524699501     |  1524704200     |  1518840255     |  1510018313     |  1492436630     |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Cache Misses                                               |  43409256       |  42260085       |  42550457       |  42716318       |  42716571       |  42550588       |  42259740       |  41803335       |  42259953       |  42716383       |  43006895       |  43131805       |  43131896       |  42965792       |  42716408       |  42218731       |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Miss Rate (%)                                              |  2.8491         |  2.82885        |  2.82886        |  2.82886        |  2.82886        |  2.82887        |  2.82886        |  2.82884        |  2.82886        |  2.82886        |  2.82886        |  2.82887        |  2.82887        |  2.82886        |  2.82887        |  2.82885        |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
      Read Accesses                                            |  1175583629     |  1167818147     |  1175848107     |  1180437578     |  1180437632     |  1175849004     |  1167818099     |  1155199490     |  1167818213     |  1180437685     |  1188466807     |  1191909241     |  1191909162     |  1187320513     |  1180437628     |  1166671065     |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Read Misses                                              |  38334451       |  38606779       |  38872208       |  39023951       |  39023958       |  38872236       |  38606755       |  38189556       |  38606822       |  39023969       |  39289414       |  39403294       |  39403273       |  39251502       |  39023958       |  38568884       |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Read Miss Rate (%)                                       |  3.26089        |  3.30589        |  3.30589        |  3.30589        |  3.30589        |  3.30589        |  3.30589        |  3.30588        |  3.30589        |  3.30589        |  3.30589        |  3.3059         |  3.3059         |  3.30589        |  3.30589        |  3.30589        |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
      Write Accesses                                           |  348031124      |  326075698      |  328309411      |  329580133      |  329588487      |  328305894      |  326062631      |  322554596      |  326070091      |  329581264      |  331821809      |  332790260      |  332795038      |  331519742      |  329580685      |  325765565      |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Write Misses                                             |  5074805        |  3653306        |  3678249        |  3692367        |  3692613        |  3678352        |  3652985        |  3613779        |  3653131        |  3692414        |  3717481        |  3728511        |  3728623        |  3714290        |  3692450        |  3649847        |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
      Write Miss Rate (%)                                      |  1.45815        |  1.12039        |  1.12036        |  1.12032        |  1.12037        |  1.1204         |  1.12033        |  1.12036        |  1.12035        |  1.12033        |  1.12032        |  1.12038        |  1.1204         |  1.12038        |  1.12035        |  1.12039        |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
    Evictions                                                  |  42880773       |  41734705       |  42021937       |  42185918       |  42185986       |  42022104       |  41735080       |  41284085       |  41734918       |  42185932       |  42473077       |  42595770       |  42595938       |  42432161       |  42185971       |  41693727       |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              |  0              | 
    Event Counters                                             |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 |                 | 
